index,count,tx_0,action_types
42,2,0x90a86c43637d942a5cef74dd9bcdc5b4ecb97a231b9add51119adb456a69f230,"['', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'BalancerVault:token_in', 'BalancerVault:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', '']"
5,1,0xc5b1c33eda95d48e3c2e0ffbd42d7366681f79611b645fa3f80b22f1c6e1954c,"['CurveRouter:token_in', 'CurveRouter:token_out', 'CurveRouter:token_in', 'CurveRouter:token_to_pool', 'CurveRouter:token_from_pool', 'CurveRouter:token_out']"
6,1,0x6f8c9ecf443119d5cda5af0df65cd41756e856c4e2bcdd9b0907749c84abd275,"['CurveRouter:token_in', 'CurveRouter:token_out', 'CurveRouter:token_in', 'CurveRouter:token_to_pool', 'CurveRouter:token_from_pool', 'CurveRouter:token_to_pool', 'CurveRouter:token_from_pool', 'CurveRouter:token_out']"
7,1,0x3f450e94f05ec04b2fad7012a16dcd21d2362dd15f966bd806af70506679f5b5,"['CurveRouter:token_in', 'CurveRouter:token_out', 'CurveRouter:token_in', 'CurveRouter:token_to_pool', 'CurveRouter:token_from_pool', 'CurveRouter:token_to_pool', 'CurveSwap:WETH_withdraw_eth_in', 'CurveSwap:WETH_withdraw_weth_out', 'CurveRouter:token_from_pool', 'CurveRouter:token_out']"
10,1,0xd2d443faf4258933a6626203664db8abb7a7c425af54d688a0b6715f56982199,"['CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'frxETH_unstake:frxETH_out', 'frxETH_unstake:sFrxETH_in', 'CurveSwap:token_in', 'CurveSwap:token_out', '', 'CurveSwap:token_in', 'CurveSwap:token_out', '', 'CurveSwap:token_out']"
18,1,0x42fe2478e30be054eca9bfc56349192c66ce6947c94ce32e07f91b8fa95c09e6,"['UniswapSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'BalancerVault:token_in', 'BalancerVault:token_out', 'rETH_withdraw:eth_out', 'rETH_withdraw:reth_in', 'WETH_deposit:eth_in', 'WETH_deposit:weth_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'miner_take_profit', 'UniswapSwap:token_in']"
27,1,0x724f620701a2dfa934a607df9e96e276db12b58d32e0369573a5bcdac287122b,"['UniswapSwap:token_out', 'UniswapSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'miner_take_profit', 'UniswapSwap:token_in', 'UniswapSwap:token_in']"
30,1,0x1ef2416f06f39fab6498b71ea409baf9b569c064aa3847015fc6e05f7cd68dd7,"['UniswapSwap:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'CurveSwap:token_in', 'CurveSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'UniswapSwap:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'miner_take_profit', 'UniswapSwap:token_in', 'UniswapSwap:token_in']"
35,1,0x34babf75dcb0bfc4c5f88934e410534d7186ba161a7d3956aac4a4a5f1996d62,"['UniswapSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'WETH_withdraw:eth_out', 'WETH_withdraw:weth_in', 'miner_take_profit', 'UniswapSwap:token_in']"
36,1,0x7b61ffa896377bbc020cb0a0de139bd8636cc07bae6b9bf8daa171a0962c58ad,"['UniswapSwap:token_out', 'frxETH_stake:frxETH_in', 'frxETH_stake:sFrxETH_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'PancakeSwap:token_out', 'UniswapSwap:token_in', 'PancakeSwap:token_in']"
39,1,0x07a30a9f08484b2444e23a37104a87022e0b70bb79fab858a92c2a49d781f07d,"['UniswapSwap:token_out', '', '', 'BalancerVault:token_in', 'BalancerVault:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'CurveSwap:token_in', 'CurveSwap:token_out', 'UniswapSwap:token_in']"
40,1,0x59d139760c6486236b6ec0d13f74ed7302754c9256d55774b44cae5e1ad9e5c0,"['sfrxETH_transfer', 'frxETH_unstake:frxETH_out', 'frxETH_unstake:sFrxETH_in', 'CurveRouter:token_in', 'CurveRouter:token_to_pool', 'CurveRouter:token_from_pool', 'CurveRouter:token_to_pool', 'CurveSwap:WETH_deposit_eth_out', 'CurveSwap:WETH_deposit_weth_in', 'CurveRouter:token_from_pool', 'CurveRouter:token_to_pool', 'CurveRouter:token_from_pool', 'CurveRouter:token_to_pool', 'CurveRouter:token_from_pool', 'CurveRouter:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'sfrxETH_transfer']"
41,1,0x64dfbe01f2fe7d288fbf7b5ce8c0f2aa3ae219b7bce9d2154cd40b5c2eb48db9,"['sfrxETH_transfer', 'frxETH_unstake:frxETH_out', 'frxETH_unstake:sFrxETH_in', 'CurveRouter:token_in', 'CurveRouter:token_to_pool', 'CurveRouter:token_from_pool', 'CurveRouter:token_to_pool', 'CurveSwap:WETH_deposit_eth_out', 'CurveSwap:WETH_deposit_weth_in', 'CurveRouter:token_from_pool', 'CurveRouter:token_to_pool', 'CurveSwap:MetaPool_3Pool_token_in', 'CurveSwap:MetaPool_3Pool_LP_mint', 'CurveRouter:token_from_pool', 'CurveRouter:token_to_pool', 'CurveRouter:token_from_pool', 'CurveRouter:token_out', 'LLAMMA:token_in', 'LLAMMA:token_out', 'sfrxETH_transfer']"
